,email,product,rating,salary,Age,user_id,Status
0,cust15889@gmail.com,Medium-term deposits,3.5,27443,36,15889,ACTIVE
1,cust15890@gmail.com,Securities,3.0,37659,54,15890,ACTIVE
2,cust15891@gmail.com,Direct Debit,4.0,108623,29,15891,ACTIVE
3,cust15892@gmail.com,Payroll Account,2.0,34061,50,15892,ACTIVE
4,cust15893@gmail.com,Pensions,1.0,79725,76,15893,CHURN
5,cust15894@gmail.com,Credit Card,1.5,51346,42,15894,CHURN
6,cust15895@gmail.com,Securities,4.0,30931,18,15895,ACTIVE
7,cust15896@gmail.com,Current Accounts,4.5,65033,43,15896,ACTIVE
8,cust15897@gmail.com,Payroll Account,3.0,38706,32,15897,ACTIVE
9,cust15898@gmail.com,Home Account,3.0,107848,25,15898,ACTIVE
10,cust15899@gmail.com,Credit Card,2.0,18986,33,15899,ACTIVE
11,cust15900@gmail.com,Funds,4.0,16901,53,15900,ACTIVE
12,cust15901@gmail.com,Pensions,3.0,62973,75,15901,ACTIVE
13,cust15902@gmail.com,Payroll,1.5,83081,51,15902,CHURN
14,cust15903@gmail.com,Pensions,3.0,120511,74,15903,ACTIVE
15,cust15906@gmail.com,Medium-term deposits,2.0,115209,46,15906,ACTIVE
16,cust15907@gmail.com,Credit Card,3.0,40862,45,15907,ACTIVE
17,cust15908@gmail.com,Mortgage,5.0,41089,57,15908,ACTIVE
18,cust15910@gmail.com,Mortgage,3.0,41243,37,15910,ACTIVE
19,cust15911@gmail.com,Taxes,4.5,11232,59,15911,ACTIVE
20,cust15913@gmail.com,Mortgage,4.0,142162,33,15913,ACTIVE
21,cust15914@gmail.com,Pensions,5.0,102095,64,15914,ACTIVE
22,cust15915@gmail.com,Loans,3.0,34201,25,15915,ACTIVE
23,cust15916@gmail.com,Medium-term deposits,3.5,134292,51,15916,ACTIVE
24,cust15917@gmail.com,Current Accounts,3.5,124173,22,15917,ACTIVE
25,cust15918@gmail.com,Pensions,5.0,54113,78,15918,ACTIVE
26,cust15919@gmail.com,Mortgage,4.5,55966,47,15919,ACTIVE
27,cust15920@gmail.com,particular Plus Account,3.0,13763,54,15920,ACTIVE
28,cust15921@gmail.com,Derivada Account,2.0,79333,38,15921,ACTIVE
29,cust15922@gmail.com,Securities,5.0,141789,20,15922,ACTIVE
30,cust15923@gmail.com,Derivada Account,4.0,143025,57,15923,ACTIVE
31,cust15924@gmail.com,Mortgage,2.0,45861,30,15924,ACTIVE
32,cust15925@gmail.com,Medium-term deposits,4.0,13398,45,15925,ACTIVE
33,cust15926@gmail.com,particular Account,3.0,64296,26,15926,ACTIVE
34,cust15927@gmail.com,Securities,5.0,39621,44,15927,ACTIVE
35,cust15928@gmail.com,Payroll Account,2.0,20084,44,15928,ACTIVE
36,cust15929@gmail.com,Direct Debit,4.5,131145,19,15929,ACTIVE
37,cust15930@gmail.com,Taxes,1.0,48466,52,15930,CHURN
38,cust15932@gmail.com,Saving Account,3.0,12946,47,15932,ACTIVE
39,cust15933@gmail.com,Credit Card,4.0,78452,58,15933,ACTIVE
